date,portfolio_return,equity,market_state
2019-12-06,-0.001528525281771338,998471.4747182286,CHOP
2019-12-13,0.0010104592285019836,999480.3894342538,CHOP
2019-12-20,0.0018979286398526046,1001377.331890332,CHOP
2019-12-27,0.008089288225435153,1009477.7617504101,CHOP
2020-01-03,0.00258678296702229,1012089.0616300937,CHOP
2020-01-10,0.018994131507390172,1031312.814363887,CHOP
2020-01-17,-0.0012595730229714864,1030013.8005646695,CHOP
2020-01-24,-0.003116995383668358,1026803.2523031947,CHOP
2020-01-31,0.009179275084391557,1036228.5618136335,CHOP
2020-02-07,-0.002871133330277305,1033253.4114520251,CHOP
2020-02-14,-0.024527025360834547,1007910.7788251725,CHOP
2020-02-28,-0.03847381661198295,969132.6043594119,BEAR
2020-03-06,-0.060372764720659514,910623.389653301,BEAR
2020-03-13,-0.01996638632061711,892441.5312628933,BEAR
2020-03-20,-0.004750450710528463,888202.0317566004,BEAR
2020-03-27,-0.0010476765770234629,887271.4832922644,BEAR
2020-04-03,0.03889697672144948,921783.6615234895,BEAR
2020-04-17,0.005544411227542811,926894.409205806,BEAR
2020-04-24,0.019077504712654174,944577.2416655626,BEAR
2020-05-08,-0.0043753428154012924,940444.3924176495,BEAR
2020-05-15,0.021178065941959996,960361.185775017,BEAR
2020-05-22,-0.0127871151060304,948080.9367491481,BEAR
2020-05-29,0.010419785376408752,957959.7366295387,BEAR
2020-06-05,-0.012317818997401118,946159.761986938,BEAR
2020-06-12,0.02020953374383339,965281.2096238704,BEAR
2020-06-19,0.007912672655277916,972919.1638559147,BEAR
2020-06-26,0.0059596735818978185,978717.444494069,BEAR
2020-07-03,-0.029230350169905935,950109.1908741118,CHOP
2020-07-10,0.0008006074315979143,950869.855353155,CHOP
2020-07-17,0.004095344295694693,954763.9947912238,CHOP
2020-07-24,-0.006392454497133153,948660.7093990198,CHOP
2020-07-31,0.02435369685992202,971764.1047386421,CHOP
2020-08-07,0.030125979596206717,1001039.4503303246,CHOP
2020-08-14,0.019302547640033373,1020362.0620098786,BULL
2020-08-21,0.0420676108267641,1063286.2561369047,BULL
2020-08-28,-0.05707496508612387,1002599.2301913355,BULL
2020-09-04,0.0007690964964571513,1003370.3257466262,BULL
2020-09-11,0.0930698154848507,1096753.8168268392,BULL
2020-09-18,-0.030975379955197575,1062781.4506333147,BULL
2020-09-25,0.033973340835575794,1098887.687089408,CHOP
2020-10-09,0.004360847148753274,1103679.7683264518,BULL
2020-10-16,0.011527731260162032,1116402.692092997,CHOP
2020-10-23,-0.004295614997306484,1111607.055945809,BULL
2020-10-30,0.02149059965728568,1135496.1581613543,BULL
2020-11-06,0.0021596041506871805,1137948.3803776088,BULL
2020-11-13,0.09321781880072147,1244025.4463042235,BULL
2020-11-20,0.0187926591764186,1267403.9925234108,BULL
2020-11-27,0.054982622919972975,1337089.1883315938,BULL
2020-12-04,0.0068637812201919335,1346266.675992186,BULL
2020-12-11,0.014563865809100615,1365873.5232046,BULL
2020-12-18,0.04400550682241014,1425979.4798485292,BULL
2021-01-01,0.02893201989092837,1467235.9465235628,BULL
2021-01-08,-0.012643923856043305,1448684.3269368692,BULL
2021-01-15,-0.027811442253424464,1408394.3264348232,BULL
2021-01-22,-0.04670993682167298,1342608.31642705,BULL
2021-01-29,0.12772702225633334,1514095.678740866,BULL
2021-02-05,0.06079591220051828,1606146.50668878,BULL
2021-02-12,0.04473894810021893,1678003.8118928773,BULL
2021-02-19,0.029149888955674566,1726917.4366767532,BULL
2021-02-26,0.05996911958300044,1830479.1549467903,BULL
2021-03-05,0.008297737637135863,1845667.9907247848,BULL
2021-03-12,-0.09412586258586718,1671942.8990506902,BULL
2021-03-19,0.005433876058812408,1681028.0295415432,BULL
2021-03-26,0.07312758660250589,1803957.5523530822,BULL
2021-04-09,-0.014937070050837449,1777011.712024847,BULL
2021-04-16,0.00866464855150693,1792408.893981454,BULL
2021-04-23,0.03655298943395683,1857926.7973444883,BULL
2021-04-30,0.09362737214030716,2031879.6010089098,BULL
2021-05-07,0.029934311310799745,2092702.517531574,BULL
2021-05-14,-0.03029904995268323,2029295.6194167791,BULL
2021-05-21,0.01997210997383539,2069824.9346971936,BULL
2021-05-28,0.05222245007761646,2177916.2640188234,BULL
2021-06-04,0.09385746468598224,2382329.9628579966,BULL
2021-06-11,-0.015468146035239903,2345479.735088381,BULL
2021-06-18,0.00830179704915423,2364951.4318319885,BULL
2021-06-25,0.04772075308963418,2477808.6951794196,BULL
2021-07-02,0.023985090050000553,2537239.159859972,BULL
2021-07-09,0.05029146527266675,2664840.6349565196,BULL
2021-07-16,-0.0005835736067757234,2663285.5042956956,BULL
2021-07-23,-0.012676503066281366,2629524.3574341084,BULL
2021-07-30,0.012870556506182095,2663367.7992608463,BULL
2021-08-06,-0.003165154113335266,2654937.829715691,BULL
2021-08-13,-0.04643224524267603,2531663.105302274,BULL
2021-08-20,-0.0006236269914758512,2530084.2918564845,BULL
2021-08-27,0.03151180166797605,2609811.8062647274,BULL
2021-09-03,0.05647546493907916,2757202.1414270257,BULL
2021-09-17,0.011876807542271798,2789948.900615894,BULL
2021-09-24,0.004360744784535608,2802115.1557333753,BULL
2021-10-01,0.061016071192233574,2973089.2135644397,BULL
2021-10-08,-0.013296834724362864,2933556.5376708875,BULL
2021-10-22,-0.027461135386845085,2852997.744424943,BULL
2021-10-29,0.07572570246734546,3069043.002759274,BULL
2021-11-12,-0.042711775085695125,2937958.7282970934,BULL
2021-11-26,0.023719763878356247,3007646.415616656,BULL
2021-12-03,0.05568234481129152,3175119.2204014678,BULL
2021-12-10,0.0127442398490994,3215583.7012957497,BULL
2021-12-17,-0.052436070879338076,3046971.126416161,BULL
2021-12-24,0.020168118829012444,3108422.802162292,BULL
2021-12-31,0.05619667329147834,3283105.822827188,BULL
2022-01-07,-0.019426611448177016,3219326.2016638764,BULL
2022-01-14,-0.004127962380307384,3206036.9442134695,BULL
2022-01-21,-0.06488907275395772,2998000.1796885254,BULL
2022-01-28,0.025547444303857133,3074591.4223020715,BULL
2022-02-04,-0.031563162445081984,2977547.5937876953,BULL
2022-02-11,-0.03696831549868627,2867472.6749281976,BULL
2022-02-18,-0.051951927528780355,2718501.94232957,BULL
2022-02-25,0.02891704771587251,2797112.9927116064,BEAR
2022-03-04,-0.006663904464865412,2778473.2989507425,BEAR
2022-03-11,0.04168074681805403,2894282.1410650318,CHOP
2022-03-25,0.002547125110772326,2901654.239784198,CHOP
2022-04-01,0.018579755829342397,2955566.2670605644,CHOP
2022-04-08,0.02687874187483743,3035008.169846862,BULL
2022-04-22,-0.021866207557703563,2968644.051265665,BULL
2022-04-29,-0.05630789918671527,2801485.9413057556,BULL
2022-05-06,-0.03615104827308587,2700209.2878052397,CHOP
2022-05-13,0.006495382364553934,2717748.1795938546,BEAR
2022-05-20,-0.005968610693811707,2701526.9987460435,CHOP
2022-05-27,0.015985043842726396,2744711.0262633082,BEAR
2022-06-03,0.007904863038872766,2766407.5910072033,CHOP
2022-06-10,-0.02999369361753641,2683432.809301306,BEAR
