date,market_state,regime_confidence,p_bull,p_chop,p_bear,transition_risk,breadth,vix,macro_score,news_bias,suppression_score,portfolio_return,gross_exposure,net_exposure
2019-12-06,CHOP,1.0,0.9675552493037615,0.02626223880932803,0.006182511886910512,0.013519541904102178,0.1876936697653829,14.3100004196167,0.028340963379219885,0.0,0.0,-0.004353869596535635,1.0,0.7483997878200501
2019-12-13,CHOP,0.8558314350708012,0.947065722353268,0.03877998434938357,0.014154293297348275,0.11097513117493563,0.1646746347941567,13.350000381469727,-0.02427376319028382,-0.37947544085923857,0.4416856492919877,0.00229166238639481,1.0,0.7557635278597262
2019-12-20,CHOP,1.0,0.9618395836387462,0.02965230708514889,0.008508109276105114,0.11007797336322918,0.183709606020363,12.119999885559082,0.0022645914328958856,-0.15854961001496293,0.4704801532864614,0.008057319964914308,1.0,0.7319042784753966
2019-12-27,CHOP,0.8621811093784684,0.9740464057349519,0.021685077160182132,0.004268517104865876,0.08717527346033878,0.19256308100929614,11.119999885559082,1.2832964036240992,0.07771161794812176,0.3781889062153168,0.019371540100540447,1.0,0.7591620671161381
2020-01-03,CHOP,0.9,0.985684029239897,0.012529912163816236,0.0017860585962869852,0.008457336448503215,0.24214254094732182,11.489999771118164,1.3083171447005995,0.2559272700322069,0.0,0.005154029812125636,1.0,0.7542945035697092
2020-01-10,CHOP,0.7902991022707679,0.9657029784982213,0.027501040588151202,0.006795980913627541,0.21721007331683528,0.2501106684373617,14.0,1.1815324268603495,-0.5087082908493787,1.0,0.031019101531027164,0.6839482256662796,0.6839482256662796
2020-01-17,CHOP,0.9,0.9840879722479813,0.014144129632630559,0.0017678981193881118,0.01180923236167339,0.3235945108455069,14.180000305175781,1.2805631662149553,0.14812405743013818,0.0,-0.004114313461723981,1.0,0.7435356809422977
2020-01-24,CHOP,1.0,0.9509509251922798,0.03923119673618525,0.009817878071534983,0.11432449431478398,0.32138114209827356,15.859999656677246,-0.0014602841439624696,-0.1545565642268301,0.43819716281933613,-0.006881018331445191,0.9999999999999999,0.75
2020-01-31,CHOP,0.8362583901693349,0.9321540406999257,0.05188816430156718,0.015957794998507097,0.15270256854260586,0.3050022133687472,16.799999237060547,-0.00539777929759374,-0.15969009437332327,0.6374160983066512,0.011558620050345518,0.7314620697250978,0.7314620697250978
2020-02-07,CHOP,0.9,0.968757885815929,0.026165085080088007,0.005077029103982911,0.023735558959812282,0.28950863213811423,13.779999732971191,0.04000443397054077,0.05049073571963523,0.0,-0.007298885658351693,0.9999999999999999,0.7499999999999999
2020-02-14,CHOP,1.0,0.9726654227906547,0.023023503433175656,0.004311073776169726,0.008087521835729519,0.27578574590526783,13.369999885559082,0.07020653176155378,0.23911703113372332,0.0,-0.05424900030758692,1.0,0.7623963348288932
2020-02-28,BEAR,0.9,0.0007987004293398026,0.011152692371058254,0.988048607199602,0.4452319086864921,0.22487826471890218,17.770000457763672,0.004501706823487819,-0.06411226790784141,0.0,-0.03847381661198297,0.6777345819188375,0.3782654180811627
2020-03-06,BEAR,0.9,0.0005693162471088776,0.0076952501868829655,0.9917354335660081,0.0034258484011029334,0.17352810978308986,23.25,0.020704186899129333,0.19416945028331437,0.0,-0.06037276472065953,0.6697486909954292,0.3817486909954292
2020-03-13,BEAR,0.9,0.00011800554306381255,0.002367502964313521,0.9975144914926227,0.0031212788770647736,0.0849933598937583,41.15999984741211,-0.06267751411444059,0.253992026778327,0.0,-0.01996638632061711,0.49192923418527557,0.24712923418527558
2020-03-20,BEAR,1.0,5.381439493551352e-05,0.0015539918147885212,0.998392193790276,0.000727290154875871,0.03939796370075255,72.19999694824219,-0.2834902544719228,-0.13887770599600646,0.0,-0.0047504507105284605,0.5125944399370568,0.2575944399370567
2020-03-27,BEAR,0.9,9.685802836958709e-05,0.0018878448292482851,0.9980152971423821,0.0005859156687497197,0.036741921204072596,71.52999877929688,-0.1605146741287315,0.6489333343810311,0.0,-0.001047676577023463,0.48950212046837643,0.24470212046837644
2020-04-03,BEAR,1.0,7.440005330816805e-05,0.0018632300632852369,0.9980623698834066,0.0004235887674413235,0.04028331119964586,60.04999923706055,-0.1850260387295417,0.0979828733514107,0.0,0.03889697672144949,0.510369904761939,0.25536990476193905
2020-04-17,BEAR,0.9,0.0001861304001975434,0.0031155030924661696,0.9966983665073363,0.001311354297803863,0.08322266489597167,46.099998474121094,-0.07885020694092809,0.31370534531602384,0.0,0.005544411227542812,0.5135907272513863,0.2654894749259238
2020-04-24,BEAR,0.7791921807457068,7.666205698844304e-05,0.0027045695991945954,0.997218768343817,0.20080575956905058,0.10004426737494466,39.22999954223633,-0.14084624702217885,-0.33819150333916204,1.0,0.019077504712654167,0.3729786669791404,0.3729786669791404
2020-05-08,BEAR,1.0,0.0003746390647665752,0.0048847315184232494,0.9947406294168102,0.00224196444674432,0.09384683488269145,39.93000030517578,-0.0398535887298865,0.4048001584126696,0.0,-0.0043753428154012924,0.5463534236617056,0.27318570209060544
2020-05-15,BEAR,0.8760496278510734,0.0001652355782288329,0.0036160180646149574,0.9962187463571563,0.04935519476522339,0.09606020362992475,38.18000030517578,-0.10631413525134162,-0.1003036436072911,0.2395037214892658,0.021178065941959996,0.5183212456940531,0.2517284774491626
2020-05-22,BEAR,0.9,0.0003838592913653972,0.0054867404312999475,0.9941294002773347,0.002191097538725885,0.10579902611775122,32.9900016784668,-0.03370309233676647,0.22017049962671487,0.0,-0.012787115106030403,0.53064,0.26136
2020-05-29,BEAR,0.8654908364194033,0.00037601271972322633,0.0058686685853357855,0.9937553186949409,0.07051433363546608,0.11199645861000443,30.020000457763672,-0.010711239783229583,0.28061317218349646,0.34509163580596747,0.010419785376408749,0.5175549690722827,0.2521468972260256
2020-06-05,BEAR,1.0,0.00047246919789240395,0.008031637568869975,0.9914958932332376,0.024360783919393916,0.16423196104471005,29.690000534057617,-0.09077089154687534,-0.2660429584129498,0.10774363634348219,-0.012317818997401118,0.5527500000000001,0.2722500000000001
2020-06-12,BEAR,1.0,0.0002938793428941768,0.007153071763717652,0.9925530488933882,0.16968198669118895,0.20407259849490925,29.65999984741211,-0.07055223153904677,-0.14479068839105194,0.8382905027711,0.02020953374383339,0.4105626973704536,0.4105626973704536
2020-06-19,BEAR,0.9,0.0009522192989895396,0.011299044521651772,0.9877487361793587,0.004802637345239478,0.23550243470562196,31.459999084472656,-0.03397421078361933,0.16157791661742638,0.0,0.007912672655277918,0.5284840122848826,0.26351598771511753
2020-06-26,BEAR,1.0,0.0015728818284822573,0.014639274561971326,0.9837878436095465,0.005339409300202639,0.2957060646303674,29.729999542236328,0.005786363903916417,0.360283571424988,0.0,0.005959673581897819,0.5493191463083041,0.275680853691696
2020-07-03,CHOP,0.8777429652365952,0.0011041062875316553,0.014255452985352142,0.9846404407271162,0.04819047134179905,0.29880478087649404,26.510000228881836,-0.016290761332007027,0.09110098986762538,0.22257034763404787,-0.026765464755477697,0.6656716284924958,0.4433526612428742
2020-07-10,CHOP,0.889078414679504,0.0015389054779611745,0.018292532045318156,0.9801685624767208,0.02812958445391798,0.32669322709163345,24.90999984741211,-0.023571245311867276,-0.005351627253792818,0.10921585320495966,0.0008784685528080969,0.8015358081249737,0.57815697635244
2020-07-17,CHOP,1.0,0.0022039652780518324,0.01820749303448729,0.9795885416874608,0.004822361628159042,0.29393536963258077,25.360000610351562,0.044453608077860626,0.4581928417481197,0.0,0.01058506454464883,0.8387500000000002,0.6050000000000002
2020-07-24,CHOP,1.0,0.9786032731324624,0.017899791231252682,0.003496935636284812,0.44435842103524925,0.32625055334218683,24.639999389648438,0.0444070059837362,0.43047565530332027,0.0,-0.015253483376244827,0.836389180112926,0.6073608198870746
2020-07-31,CHOP,0.8560720376901592,0.9424701189285088,0.04296018350885383,0.014569697562637339,0.11853575973828662,0.29836210712704736,24.729999542236328,-0.04129048974003427,-0.14705837109059983,0.43927962309840884,0.05611789282731485,0.7804488624848653,0.5801827392812018
2020-08-07,CHOP,1.0,0.9707437915415891,0.024534567676611108,0.004721640781799855,0.019518722523928247,0.3417441345728198,23.149999618530273,0.024181732128436013,0.2470021880638142,0.0,0.06437061167758848,1.0,0.7586371389409923
2020-08-14,BULL,0.8707910955038918,0.9715064943323124,0.024524540811687298,0.003968964856000362,0.06525351935277963,0.40903054448871184,20.56999969482422,0.011165721277429711,0.10273516183672095,0.2920890449610827,0.019302547640033373,1.0,1.0
2020-08-21,BULL,0.9,0.9735532612969761,0.023092943279369695,0.0033537954236543197,0.006881151959434297,0.4710048694112439,20.6200008392334,0.006805666282280195,0.07452338885607411,0.0,0.0420676108267641,1.0,1.0
2020-08-28,BULL,0.8687195225741597,0.9779457561069869,0.019283437844545028,0.0027708060484681186,0.06950258750448171,0.5219123505976095,18.899999618530273,0.00438779964307328,0.023470555511606858,0.31280477425840286,-0.057074965086123884,1.0000000000000002,1.0000000000000002
2020-09-04,BULL,0.815309772200256,0.9550528546276811,0.037238901418256344,0.007708243954062505,0.19021333913045177,0.47587428065515713,20.5,-0.018928896374040036,-0.08910853287729965,0.8469022779974394,0.0007690964964571513,0.8363777476371789,0.8363777476371789
2020-09-11,BULL,1.0,0.9802198509681024,0.017541745217300394,0.0022384038145971926,0.015728858922488535,0.4386896857016379,21.260000228881836,0.06425900714443823,0.47325572220584916,0.0,0.09306981548485067,1.0,1.0
2020-09-18,BULL,1.0,0.9827481453141468,0.015036493437057362,0.002215361248795879,0.005031175642649781,0.4710048694112439,20.100000381469727,0.0878251702253224,0.6008754279706474,0.0,-0.03097537995519757,1.0,1.0
2020-09-25,CHOP,0.8043119829002936,0.8907683620552078,0.07315439663669107,0.03607724130810096,0.261828712516514,0.3563523683045595,23.510000228881836,-0.048505927867753165,-0.20776872344657693,0.9568801709970645,0.06368409041331465,0.7535010728550217,0.7535010728550217
2020-10-09,BULL,1.0,0.9839952913548702,0.014249522511969386,0.0017551861331604442,0.04550409714050607,0.4293935369632581,20.3799991607666,0.02329014251505387,0.1774853558599626,0.0,0.004360847148753275,1.0,1.0
2020-10-16,CHOP,1.0,0.9669321495170651,0.027725882583502365,0.005341967899432447,0.01536037750348574,0.38689685701637894,22.059999465942383,-0.038091874520445684,-0.17753343684092157,0.0,0.02537746913650701,1.0,0.7671604005053808
2020-10-23,BULL,0.8976747342176608,0.9860778810563448,0.012370809854730488,0.0015513090889248495,0.016360796363870368,0.42452412571934484,22.639999389648438,0.0393594347352398,0.3692738260185128,0.02325265782339267,-0.004295614997306483,0.9999999999999999,0.9999999999999999
2020-10-30,BULL,1.0,0.9823945151240467,0.015332338528747796,0.002273146347205529,0.0056332409141658605,0.41478530323151835,24.020000457763672,0.03933891148320244,0.4156936151887965,0.0,0.021490599657285676,1.0,1.0
2020-11-06,BULL,0.8379945993616111,0.9714199633098451,0.024570672330505,0.004009364359649941,0.13546722980312947,0.43736166445329794,20.969999313354492,0.018566624299019077,0.15805355802138057,0.620054006383889,0.002159604150687179,0.8953351922446764,0.8953351922446764
2020-11-13,BULL,0.833890391339252,0.9792445633188939,0.01800259857278592,0.0027528381083202547,0.14044194228345316,0.47498893315626384,20.6200008392334,-0.000879142125259246,0.03505713513257558,0.6610960866074796,0.09321781880072148,0.8681657060294818,0.8681657060294818
2020-11-20,BULL,0.863222316302811,0.9828177943433595,0.014975224865937197,0.00220698079070315,0.07904115864485622,0.5320938468348827,19.56999969482422,-0.021295873252646116,-0.14712055422129605,0.36777683697188956,0.018792659176418598,1.0,1.0
2020-11-27,BULL,1.0,0.9928001257933917,0.006574202237936848,0.0006256719686714771,0.006057158387570411,0.567950420540062,20.020000457763672,0.06583890279474898,0.4558844065421607,0.0,0.05498262291997296,1.0,1.0
