date,market_state,regime_confidence,p_bull,p_chop,p_bear,transition_risk,breadth,vix,macro_score,news_bias,suppression_score,portfolio_return,base_long_return,base_short_return,gross_exposure,net_exposure
2019-12-06,CHOP,1.0,0.9675552493037615,0.02626223880932803,0.006182511886910512,0.013519541904102178,0.1876936697653829,14.3100004196167,0.028340963379219885,0.0,0.0,-0.0008292333823253175,-0.01305652196479751,0.048535043458318994,1.0,0.6029557456942619
2019-12-13,CHOP,0.8558314350708012,0.947065722353268,0.03877998434938357,0.014154293297348275,0.11097513117493563,0.1646746347941567,13.350000381469727,-0.02427376319028382,-0.37947544085923857,0.4416856492919877,-0.010795668254688685,-0.004154095135697045,-0.03406620700875931,1.0,0.555927502064955
2019-12-20,CHOP,1.0,0.9618395836387462,0.02965230708514889,0.008508109276105114,0.11007797336322918,0.183709606020363,12.119999885559082,0.0022645914328958856,-0.15854961001496293,0.4704801532864614,-0.001496052286786934,-0.0034519618816398214,0.0061211883457856124,1.0,0.59137597376263
2019-12-27,CHOP,0.8621811093784684,0.9740464057349519,0.021685077160182132,0.004268517104865876,0.08717527346033878,0.19256308100929614,11.119999885559082,1.2832964036240992,0.07771161794812176,0.3781889062153168,0.007948736297529483,0.02191286303370829,-0.06016359913400752,1.0,0.6597288341292201
2020-01-03,CHOP,0.9,0.985684029239897,0.012529912163816236,0.0017860585962869852,0.008457336448503215,0.24214254094732182,11.489999771118164,1.3083171447005995,0.2559272700322069,0.0,0.0140449062757458,0.0076008236079673245,0.052883629421720944,1.0,0.715385009741546
2020-01-10,CHOP,0.7902991022707679,0.9657029784982213,0.027501040588151202,0.006795980913627541,0.21721007331683528,0.2501106684373617,14.0,1.1815324268603495,-0.5087082908493787,1.0,0.03723424969449899,0.04571277429736272,0.0,0.8145261421301907,0.8145261421301907
2020-01-17,CHOP,0.9,0.9840879722479813,0.014144129632630559,0.0017678981193881118,0.01180923236167339,0.3235945108455069,14.180000305175781,1.2805631662149553,0.14812405743013818,0.0,0.00911457149213669,0.005234451961659422,0.03154475878789294,1.0,0.70504946551148
2020-01-24,CHOP,1.0,0.9509509251922798,0.03923119673618525,0.009817878071534983,0.11432449431478398,0.32138114209827356,15.859999656677246,-0.0014602841439624696,-0.1545565642268301,0.43819716281933613,0.0206890802095479,0.021944364337590446,0.01204929025477654,1.0,0.7462810045610948
2020-01-31,CHOP,0.8362583901693349,0.9321540406999257,0.05188816430156718,0.015957794998507097,0.15270256854260586,0.3050022133687472,16.799999237060547,-0.00539777929759374,-0.15969009437332327,0.6374160983066512,-0.0005573671511809864,-0.0006871023278210676,0.0,0.8111850718778727,0.8111850718778727
2020-02-07,CHOP,0.9,0.968757885815929,0.026165085080088007,0.005077029103982911,0.023735558959812282,0.28950863213811423,13.779999732971191,0.04000443397054077,0.05049073571963523,0.0,0.009488914702018462,0.006705549457788236,0.020299913166222497,1.0,0.5905118762559868
