date,signal_date,exit_date,ticker,close,entry_price,weight,gross_weight,kinetic_energy,efficiency,leverage_mult,market_state,regime_confidence,regime_score,decision_reason,nifty_vol,universe_size,fwd_return,net_pnl,structure_tag,side,score,long_score,short_score,breadth,macro_score,news_bias,suppression_score,p_bull,p_chop,p_bear,transition_risk,mom_z,break_score
2019-12-06,2019-12-05,2019-12-13,ICICIGI,1366.199951171875,1374.699951171875,0.09479472934062068,0.09479472934062068,1.657351844367513,0.025493101184150838,0.9676602354912625,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.02651484139560989,-2513.4672136063245,VACUUM,LONG,0.9858490566037735,0.9858490566037735,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,1.0551752749705996,
2019-12-06,2019-12-05,2019-12-13,LALPATHLAB,832.7000122070312,827.8499755859375,0.0785525035016388,0.0785525035016388,3.087539546550097,0.025493101184150838,1.0427420227468274,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.08195926506842555,-6438.105456279241,VACUUM,LONG,0.9669811320754716,0.9669811320754716,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,0.2707319143170475,
2019-12-06,2019-12-05,2019-12-13,DEEPAKNTR,340.1000061035156,341.0,0.07356348508202633,0.07356348508202633,1.4814643387186899,0.025493101184150838,0.9479472934062068,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,0.04956009940317996,3645.8136331095707,TRAPPED,LONG,0.9575471698113207,0.9575471698113207,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,0.9463598128654608,
2019-12-06,2019-12-05,2019-12-13,M&M,524.75,527.7999877929688,0.07766164833977338,0.07766164833977338,0.23849718625148936,0.025493101184150838,0.9479472934062069,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.02510420671930247,-1949.6340740834444,VACUUM,LONG,0.9528301886792453,0.9528301886792453,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,0.7227612740911982,
2019-12-06,2019-12-05,2019-12-13,AFFLE,299.54998779296875,301.55999755859375,0.05589584045968489,0.05589584045968489,1.633668701333308,0.025493101184150838,0.9479472934062068,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.00663217938782279,-370.7112409617533,TRAPPED,LONG,0.95,0.95,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,,
2019-12-06,2019-12-05,2019-12-13,TECHM,764.9000244140625,763.2000122070312,0.07814324557883714,0.07814324557883714,0.7424590539929186,0.025493101184150838,1.0427420227468276,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.00556865819185437,-435.1530246306792,VACUUM,LONG,0.9386792452830188,0.9386792452830188,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,0.21185769548085406,
2019-12-06,2019-12-05,2019-12-13,APLAPOLLO,157.8249969482422,158.19000244140625,0.060830698532556605,0.060830698532556605,2.1983821129174577,0.025493101184150838,1.0427420227468276,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,0.02582332253639863,1570.8507483206402,VACUUM,LONG,0.9339622641509434,0.9339622641509434,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,1.4984285783376923,
2019-12-06,2019-12-05,2019-12-13,TATACONSUM,315.6000061035156,316.0,0.05853183238205214,0.05853183238205214,1.826830136099152,0.025493101184150838,1.0427420227468276,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,0.02499998068507714,1463.294679013476,VACUUM,LONG,0.9292452830188679,0.9292452830188679,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,1.3956603560090028,
2019-12-06,2019-12-05,2019-12-13,SRF,648.239990234375,646.7000122070312,0.06293407092246726,0.06293407092246726,2.151903389386517,0.025493101184150838,1.0427420227468276,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,0.022359611356974618,1407.181366938645,VACUUM,LONG,0.9245283018867925,0.9245283018867925,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,1.6924490244055561,
2019-12-06,2019-12-05,2019-12-13,OBEROIRLTY,554.4000244140625,554.0,0.054910087043708186,0.054910087043708186,0.2128839101376473,0.025493101184150838,1.0427420227468276,CHOP,1.0,0.9713368470168954,Probabilistic mixed/chop regime | Neutral news backdrop,0.143100004196167,505,-0.07725629565517822,-4242.14991910029,VACUUM,LONG,0.9198113207547169,0.9198113207547169,,0.36237623762376237,0.028340963379219885,0.0,0.0,0.9746575651489393,0.02202171671901677,0.0033207181320439615,0.010032103544086617,1.5391654209815353,
